item_code,item_name,total_quantity,total_revenue,total_gross_profit,total_adjusted_profit
102900005115168,Niushou Shengcai,899.837,3506.0886,1502.57316,1436.610198276
102900005115199,Sichuan Red Cedar,333.223,10547.765300000001,2479.17162,2219.850268548
102900005115250,Xixia Black Mushroom (1),2810.716,60116.344300000004,20975.815700000003,18710.427604400003
102900005115625,Local Xiaomao Cabbage,121.02,554.5,178.68551,178.363876082
102900005115748,White Caitai,718.676,2877.1296,1195.35083,1090.399027126
102900005115762,Amaranth,5100.061,25511.7896,9170.38225,7472.0274573
102900005115779,Yunnan Shengcai,15910.461,129756.9615,49977.54074,42355.96577715
102900005115786,Zhuyecai,7240.764,38934.738,14214.33669,12278.344032822
102900005115793,Chinese Cabbage,1707.303,26916.7509,9936.449410000001,9182.272899781
102900005115816,Nanguajian,18.428,151.592,66.68979,57.713344266
102900005115823,Shanghaiqing,7606.756,56891.4632,23241.535780000002,19887.782166946
102900005115854,Radish Leaves,415.325,2103.8182,917.13751,868.070653215
102900005115861,Niushou Youcai,3836.566,15172.1753,6224.83438,5467.272035954
102900005115878,Garden Chrysanthemum,4110.162,26871.0422,10329.29313,9681.646450749
102900005115885,Caidian Quinoa Artemisia,939.575,13243.1145,4702.80861,4680.705409533
102900005115908,Caixin,4496.717,32783.3697,12870.70547,11107.41882061
102900005115946,Muercai,1566.64,11099.5006,4946.0424,4569.64857336
102900005115960,Chinese Cabbage,19187.218,38758.6857,15915.361280000001,12371.010322944
102900005115977,Wandoujian,85.048,1134.0808,424.66752,389.165315328
102900005115984,Yunnan Lettuces,10305.364,70665.1061,27891.93961,24318.982145959002
102900005116219,Red Hot Peppers,438.593,6413.064,2844.99341,2653.525353507
102900005116226,Green Hot Peppers,1186.531,13361.2127,5397.27991,5034.582700048
102900005116233,Red Pepper (1),3457.875,57285.8741,22163.47942,19557.054240208
102900005116257,Eggplant (2),13602.001,117729.4239,40125.95025,37690.305069825
102900005116509,Green Eggplant (1),3516.763,23344.2111,8648.29236,8215.012912764
102900005116530,Xixia Mushroom (1),11920.227,211198.38640000002,71470.52709,61593.300246162005
102900005116547,Needle Mushroom (1),4697.47,37318.2425,15418.25902,14889.412735614
