date,total_revenue,total_quantity,total_gross_profit,total_adjusted_profit
2020-07-01,122550.2935,13613.125,49041.45248,43727.549159944
2020-08-01,133930.3319,15475.616,51310.553570000004,45594.955215123
2020-09-01,106520.8334,12110.885,41213.350210000004,36641.137759803
2020-10-01,122685.2828,15065.836,46817.67246,41706.90795196
2020-11-01,84574.692,14973.777,30235.35802,27050.765868357
2020-12-01,99267.8393,15344.76,29774.2798,26559.698042184
2021-01-01,135735.115,15061.949,40996.61338,36543.266759219005
2021-02-01,178817.904,17597.232,62609.8297,56575.867201841
2021-03-01,92091.7412,12568.773,34686.17189,30946.674145918
2021-04-01,74633.4324,10776.295,25947.46531,23038.820908082
2021-05-01,68115.3604,11065.744,24761.98448,21970.710380478
2021-06-01,66851.8856,10062.538,26064.108510000002,22870.719024659
2021-07-01,83136.9524,11233.718,32699.47423,28797.056013142
2021-08-01,108694.5554,13541.067000000001,40795.13678,36091.107577291
2021-09-01,91217.3984,10646.919,32726.844510000003,29144.248789783
2021-10-01,84693.8128,9867.82,29855.16655,26581.546103364002
2021-11-01,57670.3175,6457.651,20330.93358,18199.410876493
2021-12-01,58704.1788,8547.343,18389.80552,16609.249142043
2022-01-01,114624.3682,13253.855,41362.127530000005,37486.460115034
2022-02-01,80479.2356,9481.284,28347.536460000003,25596.643674483003
2022-03-01,75969.6413,8369.486,25681.32958,23242.512193666
2022-04-01,66158.1451,7890.764,23041.790790000003,20730.15176713
2022-05-01,55437.7304,7634.319,20013.80747,17852.041200878
2022-06-01,52933.3625,8435.449,20147.21214,17976.331725003
2022-07-01,91660.6354,13285.676,34210.41986,30620.32457297
2022-08-01,119016.8562,22842.257,48314.25539,43693.774847453
2022-09-01,112140.5012,16653.642,42925.33597,38994.241888842
2022-10-01,119405.154,20991.388,48768.82378,44481.24883099
2022-11-01,73256.4008,16221.979,33440.17371,30547.420351758
2022-12-01,75690.37240000001,16241.706,31942.07251,29265.31460357
2023-01-01,156731.8232,21554.797,62250.105800000005,56678.88676041
2023-02-01,91944.2837,14106.709,33919.20971,30959.910542417
2023-03-01,91557.7159,14241.276,33449.366350000004,30450.650612993002
2023-04-01,74779.4013,12708.971,24989.00389,22774.071669248002
2023-05-01,77993.4051,12143.906,28338.74191,25850.326177373
2023-06-01,70095.5177,10907.406,24254.76773,21946.434117924
